epoch,train_loss,train_acc,val_loss,val_acc,epoch_time,learning_rate,best_so_far
1,0.091597,96.9873,0.025537,99.3006,2522.42,1.00e-05,True
2,0.026405,99.2779,0.021734,99.4555,2385.65,1.00e-05,True
3,0.016639,99.5557,0.016955,99.5680,2360.43,1.00e-05,True
4,0.011180,99.6911,0.015786,99.6071,2353.72,1.00e-05,True
5,0.008417,99.7474,0.017237,99.6055,2363.88,1.00e-05,False
6,0.006513,99.7990,0.016799,99.6348,2362.71,1.00e-05,True
7,0.005298,99.8320,0.022374,99.5044,2360.97,1.00e-05,False
8,0.004338,99.8570,0.018861,99.5647,2373.49,1.00e-05,False
9,0.003662,99.8799,0.018505,99.6593,2361.69,1.00e-05,True
10,0.002924,99.9041,0.017785,99.6544,2363.65,1.00e-05,False
11,0.002671,99.9130,0.018952,99.6446,2364.88,1.00e-05,False
12,0.002401,99.9215,0.021492,99.6153,2358.74,1.00e-05,False
13,0.002115,99.9313,0.019445,99.6528,2363.39,1.00e-06,False
14,0.000789,99.9788,0.018339,99.7163,2365.02,1.00e-06,True
15,0.000528,99.9859,0.018465,99.7261,2362.76,1.00e-06,True
16,0.000423,99.9888,0.019554,99.7033,2415.56,1.00e-06,False
17,0.000380,99.9900,0.020248,99.7196,2422.89,1.00e-06,True
